Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,endereco_completo,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE,TIPO_UE2
77,19341,EMEF,"JARDIM GUARANI - JOSE ALFREDO APOLINARIO, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefjguarani@prefeitura.sp.gov.br,RUA SANTANA DO ARACUAI,190,JARDIM GUARANI,"RUA SANTANA DO ARACUAI, 190 - JARDIM GUARANI",2849130,39245271,39245136,SHA Comércio de Alimentos Ltda,11086,EMEF
78,19349,EMEF,JARDIM DAMASCENO I,FREGUÊSIA / BRASILÂNDIA,FO,emefjddamascenoI@prefeitura.sp.gov.br,AVENIDA DEPUTADO CANTÍDIO SAMPAIO,4798,VILA SOUZA,"AVENIDA DEPUTADO CANTÍDIO SAMPAIO, 4798 - VILA SOUZA",2860001,39742869,,SHA Comércio de Alimentos Ltda,11609,EMEF
79,19350,EMEF,"JOSE HERMINIO RODRIGUES, CEL. PM",FREGUÊSIA / BRASILÂNDIA,FO,emefjherminio@prefeitura.sp.gov.br,RUA PEDRO POMAR,S/N,JARDIM ELISA MARIA,"RUA PEDRO POMAR, S/N - JARDIM ELISA MARIA",2875020,39833836,39833670,SHA Comércio de Alimentos Ltda,11606,EMEF
80,19363,CEU EMEF,JARDIM PAULISTANO,FREGUÊSIA / BRASILÂNDIA,FO,emefceujdpaulistano@prefeitura.sp.gov.br,RUA APARECIDA DO TABOADO,S/N,JARDIM PAULISTANO ZONA NORTE,"RUA APARECIDA DO TABOADO, S/N - JARDIM PAULISTANO ZONA NORTE",2814000,33975448,,SHA Comércio de Alimentos Ltda,11608,EMEF
81,19365,CEU EMEF,"ROSANGELA RODRIGUES VIEIRA, PROF.",PENHA,PE I,EMEFCEUROSANGELAVIEIRA@PREFEITURA.SP.GOV.BR,AVENIDA LUIZ IMPARATO,564,PARQUE CÍSPER,"AVENIDA LUIZ IMPARATO, 564 - PARQUE CÍSPER",3819160,33963477,33963472,Apetece Sistemas de Alimentação Ltda,11622,EMEF
82,19366,CEU EMEF,TATIANA BELINKY (CEU Sapopemba),SÃO MATEUS,SM II,emefceutatianabelinky@prefeitura.sp.gov.br,RUA MANUEL QUIRINO DE MATTOS,S/N,JARDIM SAPOPEMBA,"RUA MANUEL QUIRINO DE MATTOS, S/N - JARDIM SAPOPEMBA",3969000,20759133,20759132,Comercial Milano Brasil LTDA,11600,EMEF
83,19367,CEU EMEF,TRES PONTES,SÃO MIGUEL,MP II,ceuemeftrespontes@prefeitura.sp.gov.br,RUA CAPACHÓS,400,JARDIM CÉLIA,"RUA CAPACHÓS, 400 - JARDIM CÉLIA",8191330,33976438,33976412,Singular Gestão de Serviços Ltda,11693,EMEF
84,19369,CEU EMEF,LAJEADO,GUAIANASES,G,emefceulajeado@prefeitura.sp.gov.br,RUA MANUEL DA MOTA COUTINHO,293,LAJEADO,"RUA MANUEL DA MOTA COUTINHO, 293 - LAJEADO",8451420,21539825,,Apetece Sistemas de Alimentação Ltda,11596,EMEF
85,19385,CEU EMEF,"MARA CRISTINA TATAGLIA SENA, PROFA.",IPIRANGA,IP II,emefceumaracristina@prefeitura.sp.gov.br,RUA PROFESSOR ARTUR PRIMAVESI,S/N,PARQUE BRISTOL,"RUA PROFESSOR ARTUR PRIMAVESI, S/N - PARQUE BRISTOL",4177070,23349169,23349168,Singular Gestão de Serviços Ltda,12146,EMEF
86,19386,CEU EMEF,"MARIA APARECIDA DE SOUZA CAMPOS, PROFA (FORMOSA)",ITAQUERA,IQ,emefmariasouzacampos@prefeitura.sp.gov.br,RUA SARGENTO CLAUDINER EVARISTO DIAS,10,PARQUE SANTO ANTÔNIO,"RUA SARGENTO CLAUDINER EVARISTO DIAS, 10 - PARQUE SANTO ANTÔNIO",3385150,20364332,20364305,Apetece Sistemas de Alimentação Ltda,12095,EMEF
87,19388,CEU EMEF,"ANTONIO CARLOS ROCHA, PROF. (TIQUATIRA)",PENHA,PE II,emefceuantoniocarlosrocha@prefeitura.sp.gov.br,AVENIDA CONDESSA ELISABETH DE ROBIANO,S/N,VILA MOREIRA,"AVENIDA CONDESSA ELISABETH DE ROBIANO, S/N - VILA MOREIRA",3074000,20757503,,Apetece Sistemas de Alimentação Ltda,11856,EMEF
88,19391,CEU EMEF,ALTO ALEGRE,SÃO MATEUS,SM I,emefceualtoalegre@prefeitura.sp.gov.br,AVENIDA BENTO GUELFI,S/N,JARDIM DA LARANJEIRA ZONA LESTE,"AVENIDA BENTO GUELFI, S/N - JARDIM DA LARANJEIRA ZONA LESTE",8381001,20751040,,SHA Comércio de Alimentos Ltda,11852,EMEF
89,19394,EMEF,"CAIRA ALAYDE ALVARENGA MEDEA, PROFA.",FREGUÊSIA / BRASILÂNDIA,FO,,RUA XAVIER DA SILVA FERRÃO,317,SÍTIO MORRO GRANDE,"RUA XAVIER DA SILVA FERRÃO, 317 - SÍTIO MORRO GRANDE",2808000,39931550,,SHA Comércio de Alimentos Ltda,12092,EMEF
90,19395,EMEF,"NEIR AUGUSTO LOPES, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefneiraugustolopes@prefeitura.sp.gov.br,RUA JORNALISTA OCTÁVIO RIBEIRO PENA BRANCA,20,VILA BELA VISTA ZONA NORTE,"RUA JORNALISTA OCTÁVIO RIBEIRO PENA BRANCA, 20 - VILA BELA VISTA ZONA NORTE",2617140,22080700,22081011,SHA Comércio de Alimentos Ltda,11830,EMEF
91,19396,EMEF,"SERAFIN MARTNEZ GUTIERREZ, Pe",PENHA,PE II,emefserafinmartinezgutierrez@prefeitura.sp.gov.br,AVENIDA WALDEMAR TIETZ,1521,ARTHUR ALVIM,"AVENIDA WALDEMAR TIETZ, 1521 - ARTHUR ALVIM",3589001,22177270,,Apetece Sistemas de Alimentação Ltda,11807,EMEF
92,19397,EMEF,"GILMAR TACCOLA, PROF.",ITAQUERA,IQ,emefgilmartaccola@prefeitura.sp.gov.br,RUA LUTÉCIA,1730,VILA CARRÃO,"RUA LUTÉCIA, 1730 - VILA CARRÃO",3423000,20928982,,Apetece Sistemas de Alimentação Ltda,12097,EMEF
93,19398,EMEF,ÁGUAS DE MARÇO,ITAQUERA,IQ,emefaguasdemarco@prefeitura.sp.gov.br,RUA AGUAS DE MARCO,S/N,CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO,"RUA AGUAS DE MARCO, S/N - CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO",8257010,25212615,,Apetece Sistemas de Alimentação Ltda,11835,EMEF
94,19399,EMEF,"JANUARIO MANTELLI NETO, DEP.",PENHA,PE I,emefdepjanuario@prefeitura.sp.gov.br,RUA CAICARA DO RIO DO VENTO,367,PARQUE CISPER,"RUA CAICARA DO RIO DO VENTO, 367 - PARQUE CISPER",3817000,29432822,,Apetece Sistemas de Alimentação Ltda,9346,EMEF
95,19400,EMEF,DAMA ENTRE RIOS VERDES,SÃO MIGUEL,MP II,emefdama@prefeitura.sp.gov.br,AVENIDA FERNANDO FIGUEIREDO LINS,194,PARQUE SANTA RITA,"AVENIDA FERNANDO FIGUEIREDO LINS, 194 - PARQUE SANTA RITA",8150040,20161371,20161357,Singular Gestão de Serviços Ltda,12164,EMEF
96,19401,EMEF,JARDIM FONTALIS,JAÇANÃ / TREMEMBÉ,JT,emefjardimfontalis@prefeitura.sp.gov.br,RUA CRISÂNTEMO,100,JARDIM FLOR DE MAIO,"RUA CRISÂNTEMO, 100 - JARDIM FLOR DE MAIO",2363155,22068938,22673052,SHA Comércio de Alimentos Ltda,12075,EMEF
97,19402,EMEF,ZILKA SALABERRY DE CARVALHO,FREGUÊSIA / BRASILÂNDIA,FO,emefzscarvalho@prefeitura.sp.gov.br,RUA ANTÔNIO DA FRANCA E HORTA,35,JARDIM PERI,"RUA ANTÔNIO DA FRANCA E HORTA, 35 - JARDIM PERI",2652110,22355657,22581001,SHA Comércio de Alimentos Ltda,9349,EMEF
98,19404,EMEF,NEUZA AVELINO DA SILVA MELO,SÃO MIGUEL,MP I,emefneuzamelo@prefeitura.sp.gov.br,RUA CAUCÁSICA,133,JARDIM MATARAZZO,"RUA CAUCÁSICA, 133 - JARDIM MATARAZZO",3813240,25452276,25451922,Singular Gestão de Serviços Ltda,12162,EMEF
99,19405,EMEF,"GILBERTO DUPAS, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefgdupas@prefeitura.sp.gov.br,AVENIDA DEPUTADO EMÍLIO CARLOS,3871,LIMÃO,"AVENIDA DEPUTADO EMÍLIO CARLOS, 3871 - LIMÃO",2720200,39831611,39831621,SHA Comércio de Alimentos Ltda,12217,EMEF
100,19406,EMEF,CONSTELACAO DO INDIO,CAPELA DO SOCORRO,CS,emefcindio@prefeitura.sp.gov.br,RUA CONSTELACAO DO INDIO,41,JARDIM CAMPINAS,"RUA CONSTELACAO DO INDIO, 41 - JARDIM CAMPINAS",4858140,55273242,55273241,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12157,EMEF
101,19407,EMEF,"VIRGINIA LORISA ZEITOURIAN CAMARGO, PROFA. (ex Castor)",SÃO MATEUS,SM I,emefvirginialzcamargo@prefeitura.sp.gov.br,RUA CASTOR,154,CIDADE SATÉLITE SANTA BÁRBARA,"RUA CASTOR, 154 - CIDADE SATÉLITE SANTA BÁRBARA",8340120,20129210,20129209,SHA Comércio de Alimentos Ltda,12036,EMEF
102,19408,EMEF,PARQUE BOA ESPERANÇA II,SÃO MATEUS,SM I,emefpqboaesperanca@prefeitura.sp.gov.br,RUA FRANCISCO DE MELO PALHETA,S/N,PARQUE BOA ESPERANCA,"RUA FRANCISCO DE MELO PALHETA, S/N - PARQUE BOA ESPERANCA",8341000,27317732,27317730,SHA Comércio de Alimentos Ltda,12035,EMEF
103,19409,EMEF,"IZABEL APARECIDA CRISTOVÃO DA LUZ, PROFA.",SÃO MIGUEL,MP II,emefizabelaparecida@prefeitura.sp.gov.br,RUA ANTÔNIO DE SOUZA AMORIM,S/N,JARDIM SAO LUIS ZONA LESTE,"RUA ANTÔNIO DE SOUZA AMORIM, S/N - JARDIM SAO LUIS ZONA LESTE",8121001,25616892,25616880,Singular Gestão de Serviços Ltda,12161,EMEF
104,19410,EMEF,MURURES,SÃO MIGUEL,MP I,emefmurures@prefeitura.sp.gov.br,RUA DOS MURURÉS,434,JARDIM HELENA,"RUA DOS MURURÉS, 434 - JARDIM HELENA",8090580,25849402,25849411,Singular Gestão de Serviços Ltda,12179,EMEF
105,19418,EMEF,"ALEX MARTINS COSTA, PROF.,MAESTRO (BATALHA DAS CANOAS)",PENHA,PE I,emefalexmartinscosta@prefeitura.sp.gov.br,RUA MORRO DO DESCANSO,160,JARDIM SÃO NICOLAU,"RUA MORRO DO DESCANSO, 160 - JARDIM SÃO NICOLAU",3685070,20410840,,Apetece Sistemas de Alimentação Ltda,12114,EMEF
106,19425,EMEF,MARTIN LUTHER KING JR. (ex. CDHU Jd Iguatemi),SÃO MATEUS,SM I,emefmartinluther@prefeitura.sp.gov.br,AVENIDA DO PROGRESSO,100,JARDIM MARILU,"AVENIDA DO PROGRESSO, 100 - JARDIM MARILU",8371410,27317766,,SHA Comércio de Alimentos Ltda,12037,EMEF
107,19426,EMEF,"MARISA MORETTI CAMARA, PROFA.",SÃO MIGUEL,MP I,emefmarisamoretti@prefeitura.sp.gov.br,RUA AMPARO DA SERRA,196,PARQUE DOM JOÃO NERI,"RUA AMPARO DA SERRA, 196 - PARQUE DOM JOÃO NERI",8151300,25117935,,Singular Gestão de Serviços Ltda,12159,EMEF
108,19427,EMEF,HERCILIA DE CAMPOS COSTA,IPIRANGA,IP II,emefipiranga1@prefeitura.sp.gov.br,RUA JOSÉ PEREIRA CRUZ,95,PARQUE BRISTOL,"RUA JOSÉ PEREIRA CRUZ, 95 - PARQUE BRISTOL",4193050,23341370,,Singular Gestão de Serviços Ltda,12143,EMEF
109,19433,EMEF,"JOSEFA NICACIO ARAUJO, PROFª. (ITAIM A)",SÃO MIGUEL,MP I,emefjosefanicacio@prefeitura.sp.gov.br,RUA MANUEL RODRIGUES SANTIAGO,809,JARDIM LAURA,"RUA MANUEL RODRIGUES SANTIAGO, 809 - JARDIM LAURA",8142235,21566970,25667456,Singular Gestão de Serviços Ltda,12160,EMEF
110,19435,EMEF,JARDIM CIPRAMAR II,CAPELA DO SOCORRO,CS,emefcipramar@prefeitura.sp.gov.br,RUA DANIEL ALOMIA,S/N,JARDIM SIPRAMAR,"RUA DANIEL ALOMIA, S/N - JARDIM SIPRAMAR",04851-340,,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,,EMEF
111,19436,EMEF,CARLOS FRANCISCO GASPAR (EX. GRANJA NOSSA SENHORA APARECIDA),CAPELA DO SOCORRO,CS,RUA HANS CHRISTIAN ANDERSEN,GRANJA NOSSA SENHORA APARECIDA,67,"RUA HANS CHRISTIAN ANDERSEN, 67 - GRANJA NOSSA SENHORA APARECIDA",4860110,59255042,59255043,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12071,EMEF
112,19437,EMEF,DIAS GOMES,GUAIANASES,G,RUA ALESSIO PRATI 42,VILA IOLANDA,42,"RUA ALESSIO PRATI 42, 42 - VILA IOLANDA",8451550,29610086,25544503,2961-0086,Apetece Sistemas de Alimentação Ltda,9373,EMEF
113,19439,EMEF,"ALDINA ANALIA AGOSTINHA TADDEO CONDE, PROFA",CAPELA DO SOCORRO,CS,RUA FRANCESCO BARTOLOZZI,JARDIM ICARAÍ,1,"RUA FRANCESCO BARTOLOZZI, 1 - JARDIM ICARAÍ",4837210,59274253,59274286,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12243,EMEF
114,19440,EMEF,"GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI, PROFA",CAPELA DO SOCORRO,CS,RUA ANTÔNIO CALIXTO DA SILVA,VILA SANTA MARIA,15,"RUA ANTÔNIO CALIXTO DA SILVA, 15 - VILA SANTA MARIA",4809240,56674753,,5667-4741,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12072,EMEF
115,19443,EMEF,"MEIRE DE JESUS RIBEIRO,PROF. (CONJ.HABIT BARRO BRANCO II)",GUAIANASES,G,RUA ALFONSO ASTURARO,CONJUNTO HABITACIONAL BARRO BRANCO II,416,"RUA ALFONSO ASTURARO, 416 - CONJUNTO HABITACIONAL BARRO BRANCO II",8473591,22853094,22853262,,Apetece Sistemas de Alimentação Ltda,12074,EMEF
116,19447,EMEF,JOEL FERNANDES DE SOUZA,GUAIANASES,G,RUA CONJUNTO SITIO CONCEICAO,CONJUNTO HABITACIONAL SITIO CONCEICAO,283,"RUA CONJUNTO SITIO CONCEICAO, 283 - CONJUNTO HABITACIONAL SITIO CONCEICAO",8473090,25552375,25552667,,Apetece Sistemas de Alimentação Ltda,12073,EMEF
117,19449,EMEF,"JURANDI GOMES DE ARAUJO, PROF.",SÃO MIGUEL,MP II,RUA VISCONDE DE GUEDES TEIXEIRA,ITAIM PAULISTA,145,"RUA VISCONDE DE GUEDES TEIXEIRA, 145 - ITAIM PAULISTA",8131325,25666202,25665773,2566-6202,Singular Gestão de Serviços Ltda,12163,EMEF
118,19453,EMEBS,"MARIO PEREIRA BICUDO, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,AVENIDA FÉLIX ALVES PEREIRA,JARDIM CENTENÁRIO,73,"AVENIDA FÉLIX ALVES PEREIRA, 73 - JARDIM CENTENÁRIO",2882030,39856179,39855745,3985-5745,SHA Comércio de Alimentos Ltda,9381,EMEF
119,19454,EMEF,BARTOLOMEU CAMPOS DE QUEIROS (ex. Vl. Prudente III),SÃO MATEUS,SM II,AVENIDA ARQUITETO VILANOVA ARTIGAS,CONJUNTO HABITACIONAL TEOTONIO VILELA,1471,"AVENIDA ARQUITETO VILANOVA ARTIGAS, 1471 - CONJUNTO HABITACIONAL TEOTONIO VILELA",3928240,27026842,27026905,,Comercial Milano Brasil LTDA,12263,EMEF
120,19455,EMEF,"CÉLIA REGINA ANDERY BRAGA, PROFA.",GUAIANASES,G,RUA HENRIQUE ADAMUS,JARDIM ÁUREA,15,"RUA HENRIQUE ADAMUS, 15 - JARDIM ÁUREA",8421107,25182728,25182935,,Apetece Sistemas de Alimentação Ltda,12326,EMEF
121,19456,EMEF,HELINA COUTINHO LOURENÇO ALVES,GUAIANASES,G,RUA ARROIO SARANDI,CONJUNTO HABITACIONAL SANTA ETELVINA III,284,"RUA ARROIO SARANDI, 284 - CONJUNTO HABITACIONAL SANTA ETELVINA III",8485460,25166289,25166441,,Apetece Sistemas de Alimentação Ltda,12324,EMEF
122,19457,EMEF,"MARIA APARECIDA MAGNANELLI FERNANDES, PROFA.",GUAIANASES,G,TRAVESSA SÍLVIO CALDAS,JARDIM WILMA FLOR,15,"TRAVESSA SÍLVIO CALDAS, 15 - JARDIM WILMA FLOR",8473463,20166038,20166058,,Apetece Sistemas de Alimentação Ltda,12327,EMEF
123,19458,EMEF,PROF MARIA APARECIDA RODRIGUES CINTRA,FREGUÊSIA / BRASILÂNDIA,FO,RUA ARAUAZINHO,VILA MARINA,S/N,"RUA ARAUAZINHO, S/N - VILA MARINA",2967160,39787717,,,SHA Comércio de Alimentos Ltda,12525,EMEF
124,19460,EMEF,"JOSE CARLOS NECOLETO - ZITO, PROFESSOR",SÃO MATEUS,SM I,RUA BANDEIRA DE ARACAMBI,JARDIM RODOLFO PIRANI,707,"RUA BANDEIRA DE ARACAMBI, 707 - JARDIM RODOLFO PIRANI",8310010,22534861,,22534861,SHA Comércio de Alimentos Ltda,12379,EMEF
125,19462,EMEF,"LILIAN MASO, PROFA.",FREGUÊSIA / BRASILÂNDIA,FO,RUA ENCRUZILHADA DO SUL,JARDIM PAULISTANO ZONA NORTE,1005,"RUA ENCRUZILHADA DO SUL, 1005 - JARDIM PAULISTANO ZONA NORTE",2816010,39741365,39741138,,SHA Comércio de Alimentos Ltda,12526,EMEF
126,19464,EMEF,JARDIM MARILIA I,ITAQUERA,IQ,emefmarilia@prefeitura.sp.gov.br,RUA QUINTINO DA CUNHA,S/N,JARDIM MARILIA,"RUA QUINTINO DA CUNHA, S/N - JARDIM MARILIA",03579-160,,,Apetece Sistemas de Alimentação Ltda,12515,EMEF
127,19474,EMEF,VARGEM GRANDE II,CAPELA DO SOCORRO,CS,emefvargemgrande2@prefeitura.sp.gov.br,RUA IPEROXO,82,COLONIA ZONA SUL,"RUA IPEROXO, 82 - COLONIA ZONA SUL",4896360,59216735,59217034,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12607,EMEF
128,19476,EMEF,"MARIA APARECIDA DO NASCIMENTO, PROFA.",GUAIANASES,G,emefmariapnascimento@prefeitura.sp.gov.br,RUA EDSON DANILLO DOTTO,700,CONJUNTO HABITACIONAL SANTA ETELVINA II,"RUA EDSON DANILLO DOTTO, 700 - CONJUNTO HABITACIONAL SANTA ETELVINA II",8485280,22823595,22855219,Apetece Sistemas de Alimentação Ltda,12633,EMEF
129,19480,EMEF,"ABRAO HUCK, DR.",IPIRANGA,IP II,emefahuck@prefeitura.sp.gov.br,RUA ALENCAR ARARIPE,261,SACOMÃ,"RUA ALENCAR ARARIPE, 261 - SACOMÃ",4253000,20633663,22721262,Singular Gestão de Serviços Ltda,12717,EMEF
130,19488,EMEF,"PAULO CARNEIRO THOMAZ ALVES, GAL.",JAÇANÃ / TREMEMBÉ,JT,emefpctalves@prefeitura.sp.gov.br,RUA NOSSA SENHORA DA APARECIDA,15,PARQUE VILA MARIA,"RUA NOSSA SENHORA DA APARECIDA, 15 - PARQUE VILA MARIA",2169290,26314481,26314484,SHA Comércio de Alimentos Ltda,9386,EMEF
131,19496,EMEF,PLINIO MARCOS,CAPELA DO SOCORRO,CS,emefpliniomarcos@prefeitura.sp.gov.br,RUA BELÉM,S/N,JARDIM PAPAI NOEL,"RUA BELÉM, S/N - JARDIM PAPAI NOEL",4884390,59219520,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9384,EMEF
132,19503,EMEF,JARDIM BARTIRA,SÃO MIGUEL,MP II,emefjbartira@prefeitura.sp.gov.br,ESTRADA DOM JOÃO NERY,2404,VILA LOURDES,"ESTRADA DOM JOÃO NERY, 2404 - VILA LOURDES",8452340,25618190,25714432,Singular Gestão de Serviços Ltda,12868,EMEF
133,19505,EMEF,"JOSE MARIO PIRES AZANHA, PROF. (EX. CRIUVA)",SÃO MIGUEL,MP I,emefjosemariopiresazanha@prefeitura.sp.gov.br,RUA CHÁ DOS JESUÍTAS,72,VILA PROGRESSO ZONA LESTE,"RUA CHÁ DOS JESUÍTAS, 72 - VILA PROGRESSO ZONA LESTE",8245045,20511513,,Singular Gestão de Serviços Ltda,12865,EMEF
134,19506,EMEF,MILTON PEREIRA COSTA (JACUÍ),SÃO MIGUEL,MP I,emefvjacui@prefeitura.sp.gov.br,RUA HENRIQUE XAVIER DE BRITO,221,JARDIM PEDRO JOSÉ NUNES,"RUA HENRIQUE XAVIER DE BRITO, 221 - JARDIM PEDRO JOSÉ NUNES",8061015,20316004,20311505,Singular Gestão de Serviços Ltda,12867,EMEF
135,19507,EMEF,PEDRO FUKUYEI YAMAGUCHI FERREIRA (FAVEIRA DO MATO),SÃO MIGUEL,MP I,emeffaveiradomato@prefeitura.sp.gov.br,RUA FAVEIRA DO MATO,530,JARDIM PLANALTO,"RUA FAVEIRA DO MATO, 530 - JARDIM PLANALTO",8040370,20516206,20516394,Singular Gestão de Serviços Ltda,12866,EMEF
136,19509,EMEF,ACLAMADO,SÃO MATEUS,SM I,emefaclamado@prefeitura.sp.gov.br,RUA CURUMATIM,390,PARQUE BOA ESPERANCA,"RUA CURUMATIM, 390 - PARQUE BOA ESPERANCA",8341240,22533669,,SHA Comércio de Alimentos Ltda,13354,EMEF
137,19529,EMEF,JARDIM SILVA TELES,SÃO MIGUEL,MP II,emefjdsilvateles@prefeitura.sp.gov.br,RUA FRED ASTAIRE,164,JARDIM SILVA TELES,"RUA FRED ASTAIRE, 164 - JARDIM SILVA TELES",8160475,25666137,25665653,Singular Gestão de Serviços Ltda,13480,EMEF
138,19569,EMEF,"ROBERTO PLINIO COLACIOPPO, PROF.",IPIRANGA,IP II,EMEFRPCOLACIOPPO@PREFEITURA.SP.GOV.BR,RUA ATÍLIO SELVA,16,JARDIM CELESTE,"RUA ATÍLIO SELVA, 16 - JARDIM CELESTE",4195060,23317700,23343500,Singular Gestão de Serviços Ltda,9396,EMEF
139,19585,EMEF,"WLADIMIR DE TOLEDO PIZA, PREF.",SÃO MATEUS,SM I,emefwtpizza@prefeitura.sp.gov.br,RUA GIOVANNI MOSEL,73,RECANTO VERDE DO SOL,"RUA GIOVANNI MOSEL, 73 - RECANTO VERDE DO SOL",8381855,27319322,27319636,SHA Comércio de Alimentos Ltda,11344,EMEF
140,19615,EMEF,"DIRCE GENESIO DOS SANTOS, PROFA.",SÃO MATEUS,SM I,EMEFDGSANTOS@PREFEITURA.SP.GOV.BR,RUA OSCAR MULLER,135,JARDIM IGUATEMI,"RUA OSCAR MULLER, 135 - JARDIM IGUATEMI",8380200,27318414,,SHA Comércio de Alimentos Ltda,11449,EMEF
141,19631,EMEF,"NILCE CRUZ FIGUEIREDO, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emefncfigueiredo@prefeitura.sp.gov.br,AVENIDA CORONEL MANUEL PY,168,LAUZANE PAULISTA,"AVENIDA CORONEL MANUEL PY, 168 - LAUZANE PAULISTA",2442090,22336379,22326988,SHA Comércio de Alimentos Ltda,9433,EMEF
142,19640,CEU EMEF,MARIA LISBOA DA SILVA (JD DA CONQUISTA II),SÃO MATEUS,SM I,emefceujdconquistaii@prefeitura.sp.gov.br,RUA CURUMATIM,201,PARQUE BOA ESPERANCA,"RUA CURUMATIM, 201 - PARQUE BOA ESPERANCA",8341240,27328121,27328122,SHA Comércio de Alimentos Ltda,11445,EMEF
143,19674,CEU EMEF,JARDIM ELIANA,CAPELA DO SOCORRO,CS,emefjdeliana@prefeitura.sp.gov.br,RUA MARIA MOASSAB BARBOUR,S/N,CANTINHO DO CÉU,"RUA MARIA MOASSAB BARBOUR, S/N - CANTINHO DO CÉU",4849503,59765513,59765509,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9913,EMEF
144,19691,EMEF,MARIO COVAS GOV.,ITAQUERA,IQ,EMEFMARIOCOVAS@PREFEITURA.SP.GOV.BR,RUA PAINA,50,COLONIA ZONA LESTE,"RUA PAINA, 50 - COLONIA ZONA LESTE",8260370,25227057,25230523,Apetece Sistemas de Alimentação Ltda,9429,EMEF
145,19704,EMEF,"PRIMO PASCOLI MELARE, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefprimopascoli@prefeitura.sp.gov.br,AVENIDA INAJAR DE SOUZA,6975,JARDIM PERI,"AVENIDA INAJAR DE SOUZA, 6975 - JARDIM PERI",2675070,39828396,39842202,SHA Comércio de Alimentos Ltda,9440,EMEF
146,91804,EMEF,PAULO NOGUEIRA FILHO,FREGUÊSIA / BRASILÂNDIA,FO,EMEFPNFILHO@PREFEITURA.SP.GOV.BR,RUA BRAZELISA ALVES DE CARVALHO,356,VILA BARUEL,"RUA BRAZELISA ALVES DE CARVALHO, 356 - VILA BARUEL",2510030,38581892,39664317,SHA Comércio de Alimentos Ltda,7080,EMEF
147,91812,EMEBS,HELEN KELLER,IPIRANGA,IP I,emebshelenkeller@prefeitura.sp.gov.br,RUA PEDRA AZUL,314,ACLIMACAO,"RUA PEDRA AZUL, 314 - ACLIMACAO",4109000,55730667,55734189,Singular Gestão de Serviços Ltda,8430,EMEF
148,92622,EMEF,"ARLINDO CAETANO FILHO, PROF.",SÃO MATEUS,SM II,emefacfilho@prefeitura.sp.gov.br,RUA PALMEIRA BACABA,39,JARDIM ELBA,"RUA PALMEIRA BACABA, 39 - JARDIM ELBA",3980050,27038600,,Comercial Milano Brasil LTDA,8440,EMEF
149,93297,EMEF,PLACIDO DE CASTRO,CAPELA DO SOCORRO,CS,emefpcastro@prefeitura.sp.gov.br,RUA ANTÔNIO MESQUITA PEREIRA,78,CAPELA DO SOCORRO,"RUA ANTÔNIO MESQUITA PEREIRA, 78 - CAPELA DO SOCORRO",4782080,56675628,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6922,EMEF
150,93301,EMEF,HEITOR DE ANDRADE,CAPELA DO SOCORRO,CS,emefhandrade@prefeitura.sp.gov.br,RUA DEPUTADO ADIB CHAMMAS,140,VELEIROS,"RUA DEPUTADO ADIB CHAMMAS, 140 - VELEIROS",4773170,56876384,55213228,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6923,EMEF
151,93319,EMEF,"ALMEIDA JUNIOR, PROF.",CAPELA DO SOCORRO,CS,emefajunior@prefeitura.sp.gov.br,RUA FRANCISCO MENDES,238,SOCORRO,"RUA FRANCISCO MENDES, 238 - SOCORRO",4766050,55481138,55224479,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6924,EMEF
152,93327,EMEF,"AFRANIO DE MELLO FRANCO, DR.",CAPELA DO SOCORRO,CS,EMEFAMFRANCO@PREFEITURA.SP.GOV.BR,RUA ACÂMBARO,39,JARDIM CLIPER,"RUA ACÂMBARO, 39 - JARDIM CLIPER",4827250,56675444,56679313,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6925,EMEF
