Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE
80,19236,EMEI,CONJ. HABITACIONAL GOITI,ITAQUERA,IQ,emeicgoiti@prefeitura.sp.gov.br,RUA DOS LIRIOS,S/N,VILA CAMPANELA,"RUA DOS LIRIOS, S/N - VILA CAMPANELA",08220-280,20492478,2049-2972,Apetece Sistemas de Alimentação Ltda,9558
81,19237,EMEI,SANTO DIAS DA SILVA,IPIRANGA,IP II,emeisdsilva@prefeitura.sp.gov.br,RUA MICHAEL MATTARS/N,S/N,JARDIM PATENTE,"RUA MICHAEL MATTARS/N, S/N - JARDIM PATENTE",04256-215,29475077,2352-0099,Singular Gestão de Serviços Ltda,9570
82,19238,EMEI,GLOBO DO SOL,SÃO MIGUEL,MP I,"emeigsol@prefeitura.sp.gov,br",RUA GLOBO DO SOL,85,JARDIM PEDRO JOSÉ NUNES,"RUA GLOBO DO SOL, 85 - JARDIM PEDRO JOSÉ NUNES",08061-290,29560518,,Singular Gestão de Serviços Ltda,9655
83,19240,EMEI,ALFREDO VOLPI,SÃO MATEUS,SM II,emeiavolpi@prefeitura.sp.gov.br,RUA GEORGE BEKESY,16,FAZENDA DA JUTA,"RUA GEORGE BEKESY, 16 - FAZENDA DA JUTA",03974-015,20121055,2012-1655,Comercial Milano Brasil LTDA,9582
84,19245,EMEI,APARECIDA CANDIDA DOS SANTOS DE JESUS - DONA CIDICA,SÃO MATEUS,SM II,emeiapcsantos@prefeitura.sp.gov.br,RUA ALEXANDRE GROPPALI,179,FAZENDA DA JUTA,"RUA ALEXANDRE GROPPALI, 179 - FAZENDA DA JUTA",03977-414,29624441,2011-8238,Comercial Milano Brasil LTDA,9641
85,19246,EMEI,"RAUL NEMENZ, PROF",GUAIANASES,G,emeiraulnemenz@prefeitura.sp.gov.br,RUA ALFONSO ASTURAROS/N.,S/N,BARRO BRANCO II,"RUA ALFONSO ASTURAROS/N. , S/N - BARRO BRANCO II",08473-591,29648027,,Apetece Sistemas de Alimentação Ltda,9669
86,19248,EMEI,WILSON REIS SANTOS,GUAIANASES,G,emeiwrsantos@prefeitura.sp.gov.br,RUA FRANCISCO DE SOUTO MAIOR,14 A,JARDIM LOURDES,"RUA FRANCISCO DE SOUTO MAIOR, 14 A - JARDIM LOURDES",08452-430,29638426,2963-3379,Apetece Sistemas de Alimentação Ltda,9660
87,19250,EMEI,LAURA DA CONCEICAO PEREIRA QUINTAES PROFA,SÃO MIGUEL,MP II,lauraconceicao@prefeitura.sp.gov.br,RUA LOURENÇO FRANCO DO PRADO,131,ITAIM PAULISTA,"RUA LOURENÇO FRANCO DO PRADO, 131 - ITAIM PAULISTA",08142-230,25610577,,Singular Gestão de Serviços Ltda,9756
88,19252,EMEI,"JOSE ROBSON COSTA DE ARAUJO, BOMBEIRO",FREGUÊSIA / BRASILÂNDIA,FO,emeijrcaraujo@prefeitura.sp.gov.br,RUA MONS PAULO FERNANDES DE BARROS,S/N,JARDIM CACHOEIRA,"RUA MONS PAULO FERNANDES DE BARROS, S/N - JARDIM CACHOEIRA",02762-100,39835772,3983-1191,SHA Comércio de Alimentos Ltda,9762
89,19258,EMEI,GRAJAU,CAPELA DO SOCORRO,CS,emeigrajau@prefeitura.sp.gov.br,RUA ALBA VALDEZ,101,JARDIM REIMBERG,"RUA ALBA VALDEZ, 101 - JARDIM REIMBERG",04845-200,59253271,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9914
90,19259,EMEI,"CARLOS EDUARDO DE CAMARGO ARANHA, DR.",IPIRANGA,IP II,emeicecaranha@prefeitura.sp.gov.br,RUA DO BOQUEIRÃO,107,JARDIM DA SAUDE,"RUA DO BOQUEIRÃO, 107 - JARDIM DA SAUDE",04293-000,50734333,5058-2002,Singular Gestão de Serviços Ltda,9300
91,19280,CEU EMEI,ARICANDUVA,ITAQUERA,IQ,emeiceuaricanduva@prefeitura.sp.gv.br,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TEREZINHA,"RUA OLGA FADEL ABARCA, S/N - JARDIM SANTA TEREZINHA",03572-020,27211097,2721-1097,Apetece Sistemas de Alimentação Ltda,9946
92,19284,CEU EMEI,INACIO MONTEIRO,GUAIANASES,G,emeiceuinaciomonteiro@prefeitura.sp.gov.br,RUA BARÃO BARROSO DO AMAZONASS/N,S/N,INÁCIO MONTEIRO,"RUA BARÃO BARROSO DO AMAZONASS/N, S/N - INÁCIO MONTEIRO",08472-725,25189011,2518-9012,Apetece Sistemas de Alimentação Ltda,9905
93,19285,CEU EMEI,"THERESINHA SQUINCA DA SILVA, PROFA",GUAIANASES,G,emeiceutheresinhassilva@prefeitura.sp.gov.br,RUA JOSÉ PINHEIRO BORGES,60,GUAIANASES,"RUA JOSÉ PINHEIRO BORGES, 60 - GUAIANASES",08430-810,29602025,2960-2025,Apetece Sistemas de Alimentação Ltda,9854
94,19287,CEU EMEI,NAVEGANTES,CAPELA DO SOCORRO,CS,emeiceunavegantes@prefeitura.sp.gov.br,RUA MARIA MOASSAB BARBOUR,S/N,PARQUE RESID. COCAIA,"RUA MARIA MOASSAB BARBOUR, S/N - PARQUE RESID. COCAIA",04849-330,59765505,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9903
95,19289,CEU EMEI,ANTON MAKARENKO,SÃO MIGUEL,MP II,emeiceuantonmakarenko@prefeitura.sp.gov.br,RUA DANIEL MULLER,347,ITAIM PAULISTA,"RUA DANIEL MULLER, 347 - ITAIM PAULISTA",08141-290,25636224,,Singular Gestão de Serviços Ltda,9842
96,19293,CEU EMEI,SAO MATEUS,SÃO MATEUS,SM I,emeiceusaomateus@prefeitura.sp.gov.br,RUA CURUMATIM,201,PARQUE BOA ESPERANÇA,"RUA CURUMATIM, 201 - PARQUE BOA ESPERANÇA",08341-240,27328129,2732-8132,SHA Comércio de Alimentos Ltda,11440
97,19295,CEU EMEI,TRES LAGOS,CAPELA DO SOCORRO,CS,emeiceutreslagos@prefeitura.sp.gov.br,ESTRADA DO BARRO BRANCO,S/N,PARQUE RESID. COCAIA,"ESTRADA DO BARRO BRANCO, S/N - PARQUE RESID. COCAIA",04852-320,59765621,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9910
98,19297,CEU EMEI,"APPARECIDO DOMINGUES, PROF. (VILA CURUÇÁ)",SÃO MIGUEL,MP II,emeicvcuruca@prefeitura.sp.gov.br,AVENIDA MARECHAL TITO,3400,JARDIM MIRAGAIA/ITAIM PTA,"AVENIDA MARECHAL TITO, 3400 - JARDIM MIRAGAIA/ITAIM PTA",08115-000,25636129,,Singular Gestão de Serviços Ltda,9921
99,19299,CEU EMEI,ROSA DA CHINA,SÃO MATEUS,SM II,emeiceurosadachina@prefeitura.sp.gov.br,RUA CLARA PETRELA,113,JARDIM SÃO ROBERTO,"RUA CLARA PETRELA, 113 - JARDIM SÃO ROBERTO",03978-500,27012330,2701-2334,Comercial Milano Brasil LTDA,9843
100,19300,EMEI,"JOSE LA TORRE, PROF.",CAPELA DO SOCORRO,CS,emeijltorrre@prefeitura.sp.gov.br,RUA ANTONIO MARCONDES BOETA,161,JARDIM ALADIM,"RUA ANTONIO MARCONDES BOETA, 161 - JARDIM ALADIM",04883-210,59208156,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9837
101,19301,EMEI,"MARIA APARECIDA LARA COIADO, PROFA",GUAIANASES,G,emeimaplcoiado@prefeitura.sp.gov.br,RUA COMANDANTE CARLOS RUHL,134,VILA PRINCESA ISABEL,"RUA COMANDANTE CARLOS RUHL, 134 - VILA PRINCESA ISABEL",08410-130,20165605,,Apetece Sistemas de Alimentação Ltda,9872
102,19304,CEU EMEI,PAZ,FREGUÊSIA / BRASILÂNDIA,FO,emeiceupaz@prefeitura.sp.gov.br,RUA DANIEL CERRI,1549,JARDIM PARANÁ,"RUA DANIEL CERRI, 1549 - JARDIM PARANÁ",02876-170,39863419,3986-3417,SHA Comércio de Alimentos Ltda,10068
103,19309,EMEI,FERNANDO SABINO,PENHA,PE I,emeifsabino@prefeitura.sp.gov.br,RUA OLHO D'ÁGUA DO BORGES,290,CANGAÍBA,"RUA OLHO D'ÁGUA DO BORGES, 290 - CANGAÍBA",03820-000,25470113,,Apetece Sistemas de Alimentação Ltda,10059
104,19311,EMEI,JARDIM IMPERADOR,SÃO MATEUS,SM II,emeijimperador@prefeitura.sp.gov.br,RUA EUGENÓPOLIS,S/N,JARDIM IMPERADOR,"RUA EUGENÓPOLIS, S/N - JARDIM IMPERADOR",03934-090,27216917,2725-1575,Comercial Milano Brasil LTDA,11443
105,19315,CEU EMEI,"EDNA ALVES DE SOUSA, PROFA.",GUAIANASES,G,emeiceulajeado@prefeitura.sp.gov.br,RUA MANUEL DA MOTA COUTINHO,293,LAJEADO,"RUA MANUEL DA MOTA COUTINHO, 293 - LAJEADO",08451-420,21539562,,Apetece Sistemas de Alimentação Ltda,10402
106,19316,EMEI,"CELIA RIBEIRO LANDIM, PROFA",SÃO MIGUEL,MP I,emeicrlandim@PREFEITURA.SP.GOV.BR,CRAVEIRO DO CAMPO,S/N,JARDIM HELENA,"CRAVEIRO DO CAMPO , S/N - JARDIM HELENA",08090-590,25813605,2581-3605,Singular Gestão de Serviços Ltda,10494
107,19318,EMEI,"EDI GREENFIELD, PROFA.",SÃO MIGUEL,MP II,emeicidadekemel@prefeitura.sp.gov.br,RUA DESEMB. FERNANDO DE ALBUQUERQUE PRADO,650,ITAIM PAULISTA,"RUA DESEMB. FERNANDO DE ALBUQUERQUE PRADO, 650 - ITAIM PAULISTA",08130-110,emeiedigr,,Singular Gestão de Serviços Ltda,10809
108,19319,EMEI,"FATIMA REGINA DA CRUZ SABINO CALAÇA, PROFA.",IPIRANGA,IP II,emeifatimareginacsc@prefeitura.sp.gov.br,RUA MARIO QUINTANA,15,JARDIM SÃO SAVÉRI,"RUA MARIO QUINTANA, 15 - JARDIM SÃO SAVÉRI",04194-260,23345368,2331-4745,Singular Gestão de Serviços Ltda,10750
109,19320,EMEI,JARDIM DA CONQUISTA II,SÃO MATEUS,SM I,emeijardimdaconquistall@prefeitura.sp.gov.br,TRAVESSA JAMBALAYA,49,JARDIM DA CONQUISTA,"TRAVESSA JAMBALAYA, 49 - JARDIM DA CONQUISTA",08344-220,27354695,2735-4695,SHA Comércio de Alimentos Ltda,11320
110,19323,EMEI,"ODILEA BOTTA DE MATTOS, PROFA.",CAPELA DO SOCORRO,CS,emeiodileabmattos@prefeitura.sp.gov.br,RUA VENANCIO POLETTI,181,JARDIM ROSALINI,"RUA VENANCIO POLETTI, 181 - JARDIM ROSALINI",04836-110,59249326,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,10769
111,19325,EMEI,MANOEL DE ALVARENGA FREIRE JUNIOR PROF.,SÃO MATEUS,SM I,emeimafreire@prefeitura.sp.gov.br,RUA ELSA MORANTE,58,JARDIM SÃO FRANCISCO,"RUA ELSA MORANTE, 58 - JARDIM SÃO FRANCISCO",08390-324,27519954,2753-0830,SHA Comércio de Alimentos Ltda,11442
112,19328,CEU EMEI,"IRENE MANKE MARQUES, PROFA.",GUAIANASES,G,emeiceuirenemanke@prefeitura.sp.gov.br,AVENIDA DOS METALURGICOS,1262,CIDADE TIRADENTES,"AVENIDA DOS METALURGICOS, 1262 - CIDADE TIRADENTES",08471-000,22827569,2282-7569,Apetece Sistemas de Alimentação Ltda,11088
113,19331,CEU EMEI,VILA RUBI,CAPELA DO SOCORRO,CS,emeiceuvrubi@prefeitura.sp.gov.br,RUA DOMINGOS TARROSO,101,VILA RUBI,"RUA DOMINGOS TARROSO, 101 - VILA RUBI",04823-090,5662-9433,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,11098
114,19332,CEU EMEI,JAÇANÃ,JAÇANÃ / TREMEMBÉ,JT,emeiceijacana@prefeitura.sp.gov.br,AVENIDA ANTONIO CESAR NETO,105,JARDIM GUAPIRA,"AVENIDA ANTONIO CESAR NETO, 105 - JARDIM GUAPIRA",02276-000,33973987,3397-3970,SHA Comércio de Alimentos Ltda,11095
115,19339,EMEI,CIDADE A. E. CARVALHO,ITAQUERA,IQ,emeicidadeaecarvalho@prefeitura.sp.gov.br,PRAÇA JANDAIRA,S/N,CIDADE A. E. CARVALHO,"PRAÇA JANDAIRA, S/N - CIDADE A. E. CARVALHO",08225-390,20469663,2046-9633,Apetece Sistemas de Alimentação Ltda,11188
116,19358,CEU EMEI,"ERIKA BRITO DE MATOS, PROFª (SAPOPEMBA)",SÃO MATEUS,SM II,emeiceuesbmatos@prefeitura.sp.gov.br,Rua Manuel Quirino de Mattos,S/N,Sapopemba,"Rua Manuel Quirino de Mattos, S/N - Sapopemba",03969-000,22143501,2075-9126,Comercial Milano Brasil LTDA,11599
117,19342,EMEI,JARDIM KERALUX,PENHA,PE I,emeijdkeralux@prefeitura.sp.gov.br,RUA BATUÍRA DO CAMPO,47,JARDIM KERALUX,"RUA BATUÍRA DO CAMPO, 47 - JARDIM KERALUX",03828-110,25137684,2214-3500,Apetece Sistemas de Alimentação Ltda,11527
118,19344,EMEI,"ELIZA MARA TORRES, PROFA",GUAIANASES,G,emeielizamtorres@prefeitura.sp.gov.br,RUA BAIA DE CAETE,S/N,LAJEADO,"RUA BAIA DE CAETE, S/N - LAJEADO",08430-027,21534193,,Apetece Sistemas de Alimentação Ltda,11496
119,19346,EMEI,NAJLA CURI IZAR,ITAQUERA,IQ,emeinajlacuriizar@prefeitura.sp.gov.br,RUA PAULO GRACINDO,53,GUAIANAZES,"RUA PAULO GRACINDO, 53 - GUAIANAZES",08421-520,33975438,2153-4191,Apetece Sistemas de Alimentação Ltda,11528
120,19355,CEU EMEI,JARDIM PAULISTANO,FREGUÊSIA / BRASILÂNDIA,FO,emeiceujdpaulistano@prefeitura.sp.gov.br,AVENIDA APARECIDA DO TABOADO,S/N,JARDIM PAULISTANO,"AVENIDA APARECIDA DO TABOADO, S/N - JARDIM PAULISTANO",02814-000,33963462,3397-5497,SHA Comércio de Alimentos Ltda,11607
121,19357,CEU EMEI,BRAZ JAIME ROMANO,PENHA,PE I,emeibrazjaimeromano@prefeitura.sp.gov,AVENIDA LUIS IMPARATO,564,VILA CISPER,"AVENIDA LUIS IMPARATO, 564 - VILA CISPER",03819-160,20759126,2214-7112,Apetece Sistemas de Alimentação Ltda,11623
122,19359,CEU EMEI,TRES PONTES,SÃO MIGUEL,MP II,emeiceutrêspontes@prefeitura.sp.gov.br,RUA CAPACHOS,400,JARDIM CÉLIA,"RUA CAPACHOS, 400 - JARDIM CÉLIA",08191-330,33976417,,Singular Gestão de Serviços Ltda,11692
123,19364,CEU EMEI,"ROQUE SPENCER MACIEL DE BARROS, PROF.",SÃO MATEUS,SM I,emeiceuroquesmbarros@prefeitura.sp.gov.br,RUA CINIRA POLONIO,80,JARDIM RIO CLARO,"RUA CINIRA POLONIO, 80 - JARDIM RIO CLARO",08395-320,27521015,2752-1019,SHA Comércio de Alimentos Ltda,11444
124,19376,CEU EMEI,LUCIANA AZEVEDO POMPERMAYER,IPIRANGA,IP II,emeiceupqbristol@prefeitura.sp.gov.br,RUA PROF. ARTUR PRIMAVESI,S/N,PARQUE BRISTOL,"RUA PROF. ARTUR PRIMAVESI, S/N - PARQUE BRISTOL",04177-070,23349165,2264-8831,Singular Gestão de Serviços Ltda,12147
125,19377,CEU EMEI,FORMOSA,ITAQUERA,IQ,emeiceuformosa@prefeitura.sp.gov.br,RUA MANUEL FERREIRA PIRES,S/N,CAPÃO DO EMBIRA,"RUA MANUEL FERREIRA PIRES, S/N - CAPÃO DO EMBIRA",03386-090,20364324,,Apetece Sistemas de Alimentação Ltda,12103
126,19381,EMEI,"EDALZIR SAMPAIO LIPORONI, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emeiesliporoni@prefeitura.sp.gov.br,RUA NOSSA SENHORA APARECIDA,5,PARQUE VILA MARIA,"RUA NOSSA SENHORA APARECIDA, 5 - PARQUE VILA MARIA",02169-290,29555267,2955-5267,SHA Comércio de Alimentos Ltda,9345
127,19382,CEU EMEI,ALTO ALEGRE,SÃO MATEUS,SM I,emeiceualtoalegre@prefeitura.sp.gov.br,AVENIDA BENTO GUELFI,S/N,JARDIM DAS LARANJEIRAS,"AVENIDA BENTO GUELFI, S/N - JARDIM DAS LARANJEIRAS",08381-001,20751024,,SHA Comércio de Alimentos Ltda,11851
128,19393,EMEI,"BERNARDINO PIMENTEL MENDES, DR",FREGUÊSIA / BRASILÂNDIA,FO,emeibernardinopmendes@prefeitura.sp.gov.br,AVENIDA INAJAR DE SOUZA,6955,JARDIM DOS FRANCOS,"AVENIDA INAJAR DE SOUZA, 6955 - JARDIM DOS FRANCOS",02675-070,39843637,3984-7516,SHA Comércio de Alimentos Ltda,11829
129,19403,EMEI,VILA VERDE,ITAQUERA,IQ,emeivilaverde@prefeitura.sp.gov.br,RUA ORLANDO FRATUCELLI,150,VILA VERDE,"RUA ORLANDO FRATUCELLI, 150 - VILA VERDE",08230-520,20519503,2051-9504,Apetece Sistemas de Alimentação Ltda,12094
130,19429,EMEI,"ALDO GIANNINI, ENG.",SÃO MIGUEL,MP I,emeiagiannini@prefeitura.sp.gov.br,RUA ARRAIAL DE SANTA BARBARA,1080,JARDIM PEDRO JOSÉ NUNES,"RUA ARRAIAL DE SANTA BARBARA, 1080 - JARDIM PEDRO JOSÉ NUNES",08061-360,29430687,,Singular Gestão de Serviços Ltda,9353
131,19441,CEU EMEI,PARELHEIROS,CAPELA DO SOCORRO,CS,emeiceuparelheiros@prefeitura.sp.gov.br,RUA JOSE PEDRO DE BORBA,20,JARDIM NOVO PARELHEIROS,"RUA JOSE PEDRO DE BORBA, 20 - JARDIM NOVO PARELHEIROS",04890-090,59266921,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12069
132,19444,EMEI,VILA EMA,IPIRANGA,IP I,emeivilaema@prefeitura.sp.gov.br,RUA ANTÔNIO PIRES DE CAMPOS,98,VILA EMA,"RUA ANTÔNIO PIRES DE CAMPOS, 98 - VILA EMA",03283-060,20243694,,Singular Gestão de Serviços Ltda,12173
133,19448,EMEI,JARDIM NOVO PARELHEIROS I,CAPELA DO SOCORRO,CS,emeiparelheiros@prefeitura.sp.gov.br,RUA GENTIL SCHUNCK ROSCHEL,101,JARDIM NOVO PARELHEIROS,"RUA GENTIL SCHUNCK ROSCHEL, 101 - JARDIM NOVO PARELHEIROS",04890-410,59203183,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12068
134,19450,EMEI,JARDIM PREMIANO,SÃO MATEUS,SM I,emeijpremiano@prefeitura.sp.gov.br,AV. DO PROGRESSO,150,JARDIM MARILU,"AV. DO PROGRESSO, 150 - JARDIM MARILU",08371-410,27346887,,SHA Comércio de Alimentos Ltda,12441
135,19451,EMEI,PARQUE COCAIA II,CAPELA DO SOCORRO,CS,emeicocaia@prefeitura.sp.gov.br,RUA JOSÉ JULIO MENDES,120,PARQUE COCAIA,"RUA JOSÉ JULIO MENDES, 120 - PARQUE COCAIA",04850-140,59322120,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12265
136,19459,EMEI,UNIÃO DE VILA NOVA I,SÃO MIGUEL,MP I,emeiuniaovilanova@prefeitura.sp.gov.br,RUA NUBIA,40,VILA NOVA UNIÃO,"RUA NUBIA, 40 - VILA NOVA UNIÃO",08072-012,20314332,,Singular Gestão de Serviços Ltda,12383
137,19468,EMEI,LOURO ROSA,SÃO MIGUEL,MP I,emeilourorosa@PREFEITURA.SP.GOV.BR,RUA LOURO ROSA,18,JARDIM CAMARGO NOVO,"RUA LOURO ROSA, 18 - JARDIM CAMARGO NOVO",08141-670,20253216,,Singular Gestão de Serviços Ltda,12522
138,19469,EMEI,JARDIM MONJOLO I,FREGUÊSIA / BRASILÂNDIA,FO,emeijardimmonjolo@prefeitura.sp.gov.br,RUA CALIXTO DE ALMEIDA,442-A,FREGUESIA DO Ó,"RUA CALIXTO DE ALMEIDA, 442-A - FREGUESIA DO Ó",,39780393,02961-000,SHA Comércio de Alimentos Ltda,12689
139,19470,EMEI,"PEDRO ALVARES CABRAL MORAES, PROF.",JAÇANÃ / TREMEMBÉ,JT,emeipacmoraes@prefeitura.sp.gov.br,RUA LEONOR F. COSTA ZACHARIAS,2150,VILA GUILHERME,"RUA LEONOR F. COSTA ZACHARIAS, 2150 - VILA GUILHERME",02052-020,29052949,2905-2956,SHA Comércio de Alimentos Ltda,9385
140,19473,EMEI,VARGEM GRANDE I,CAPELA DO SOCORRO,CS,emeivargemgrande@prefeitura.sp.gov.br,RUA JAQUEIRA,8,PARELHEIROS,"RUA JAQUEIRA, 8 - PARELHEIROS",04896-160,59216416,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12606
141,19477,EMEI,"ISOLINA LEONEL FERREIRA, PROFA.",IPIRANGA,IP II,emeiisolinaleonel@prefeitura.sp.gov.br,ESTRADA DAS LÁGRIMAS,603,SACOMÃ,"ESTRADA DAS LÁGRIMAS, 603 - SACOMÃ",04232-000,22721299,,Singular Gestão de Serviços Ltda,12719
142,19478,EMEI,"MARISA RICCA XIMENES, PROFA.",IPIRANGA,IP I,emeimarisaricca@PREFEITURA.SP.GOV.BR,RUA VERATRO,S/N,JARDIM PANORAMA,"RUA VERATRO, S/N - JARDIM PANORAMA",03245-060,20362569,2036-1132,Singular Gestão de Serviços Ltda,12718
143,19479,EMEI,VILA NATAL,CAPELA DO SOCORRO,CS,emeivnatal@PREFEITURA.SP.GOV.BR,RUA LIMA NATAL,99,VILA NATAL,"RUA LIMA NATAL, 99 - VILA NATAL",04863-150,59243557,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,12755
144,19481,EMEI,"MARCIANO VASQUES PEREIRA, PROFº (EX ALFAZEMAS)",PENHA,PE I,emeimarcianovasques@prefeitura.sp.gov.br,RUA ITAPIPINAS,570,JARDIM ARTHUR ALVIM,"RUA ITAPIPINAS, 570 - JARDIM ARTHUR ALVIM",03687-020,22270510,,Apetece Sistemas de Alimentação Ltda,12757
145,19482,EMEI,PORTO NACIONAL,FREGUÊSIA / BRASILÂNDIA,FO,emeiportonacional@prefeitura.sp.gov.br,RUA PORTO NACIONAL,260,VILA SIQUEIRA,"RUA PORTO NACIONAL, 260 - VILA SIQUEIRA",02817-080,39225578,3922-5602,SHA Comércio de Alimentos Ltda,12773
146,19485,EMEI,"FÚLVIA ROSEMBERG, PROFA. (CIDADE TIRADENTES I)",GUAIANASES,G,emeifulviarosemberg@prefeitura.sp.gov.br,RUA MOACIR GOMES DE ALMEIDA,S/N,VILA PAULISTA I,"RUA MOACIR GOMES DE ALMEIDA, S/N - VILA PAULISTA I",08490-640,21533282,,Apetece Sistemas de Alimentação Ltda,12777
147,19489,EMEI,PARQUE SANTA RITA I,SÃO MIGUEL,MP I,santarita@prefeitura.sp.gov.br,AVENIDA FERNANDO FIGUEIREDO LINS,S/N,PARQUE SANTA RITA,"AVENIDA FERNANDO FIGUEIREDO LINS, S/N - PARQUE SANTA RITA",08140-040,20358153,,Singular Gestão de Serviços Ltda,12799
148,19502,EMEI,"MARISA LOPES PINHEIRO, PROFA",SÃO MIGUEL,MP II,emeicdhuitaima1@prefeitura.sp.gov.br,RUA ROBERTO SAID,183,ITAIM PAULISTA,"RUA ROBERTO SAID, 183 - ITAIM PAULISTA",08142-185,20254087,,Singular Gestão de Serviços Ltda,12839
149,19504,EMEI,BEGONIA REAL,ITAQUERA,IQ,emeibegoniareal@prefeitura.sp.gov.br,RUA HERA DO CANADA,20,JARDIM PEDRA BRANCA,"RUA HERA DO CANADA, 20 - JARDIM PEDRA BRANCA",08490-870,22858486,2285-8442,Apetece Sistemas de Alimentação Ltda,12890
150,19508,EMEI,"PAULA CRISTINA RODRIGUES, PROFA. (Jd Sto. André II)",SÃO MATEUS,SM I,emeiprodrigues@prefeitura.sp.gov.br,RUA JORGE CARLOS DE ALMEIDA,S/N,JARDIM SANTO ANDRÉ,"RUA JORGE CARLOS DE ALMEIDA, S/N - JARDIM SANTO ANDRÉ",08390-355,22534694,,SHA Comércio de Alimentos Ltda,12885
151,19511,EMEI,DORACI DOS SANTOS RAMOS. PROFA. (Cidade Tiradentes II),GUAIANASES,G,emeicidadetiradentes2@prefeitura.sp.gov.br,R. São Valfredo  S/N,,CIDADE TIRADENTES,R. São Valfredo  S/N,,29647311,2964-7312,Apetece Sistemas de Alimentação Ltda,13028
152,19518,EMEI,"CECILIA SANT ANNA DE SOUZA, PROFA.",ITAQUERA,IQ,emeicssouza@prefeitura.sp.gov.br,RUA FONTOURA XAVIER,226,ITAQUERA,"RUA FONTOURA XAVIER, 226 - ITAQUERA",08295-300,25229391,2079-1496,Apetece Sistemas de Alimentação Ltda,9388
153,19521,EMEI,JARDIM GAIVOTAS,CAPELA DO SOCORRO,CS,ge.ma@ig.com.br,ESTRADA CANAL DE COCAIA,5000,PARQUE RESID. COCAIA,"ESTRADA CANAL DE COCAIA, 5000 - PARQUE RESID. COCAIA",04849-032,59764180,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13372
154,19522,EMEI,JARDIM MYRNA,CAPELA DO SOCORRO,CS,emeijmyrna@prefeitura.sp.gov.br,AVENIDA CARLOS ALBERTO BASTOS MACHADO,,JARDIM MYRNA,"AVENIDA CARLOS ALBERTO BASTOS MACHADO,  - JARDIM MYRNA",04856-080,55269662,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13378
155,19524,EMEI,ANA PAULA APARECIDA DINIZ PRIMO (EX. LAJEADO I),GUAIANASES,G,emeilajeado1@prefeitura.sp.gov.br,RUA PADRE NILFO DO AMARAL JUNIOR,880,VILA NOVA CURUÇÁ,"RUA PADRE NILFO DO AMARAL JUNIOR, 880 - VILA NOVA CURUÇÁ",08032-650,25137300,,Apetece Sistemas de Alimentação Ltda,13297
156,19533,EMEI,CAMINHO DOS MARTINS,CAPELA DO SOCORRO,CS,emeicaminhodosmartins@prefeitura.sp.gov.br,ESTRADA DOS MARTINS,40,JARDIM VARGINHA,"ESTRADA DOS MARTINS, 40 - JARDIM VARGINHA",04870-500,55267436,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13517
157,19534,EMEI,JOAQUIM ANTONIO DA ROCHA,IPIRANGA,IP II,emeijarocha@prefeitura.sp.gov.br,RUA PROF. JOSÉ OZI S/Nº,S/N,IPIRANGA,"RUA PROF. JOSÉ OZI S/Nº, S/N - IPIRANGA",04230-045,20618944,2063-8006,Singular Gestão de Serviços Ltda,9403
158,19535,EMEI,JARDIM SÃO BERNARDO,CAPELA DO SOCORRO,CS,emeijdsaobernardo@prefeitura.sp.gov.br,RUA JOÃO AMÓS COMENIOS,797,JARDIM SÃO BERNARDO,"RUA JOÃO AMÓS COMENIOS, 797 - JARDIM SÃO BERNARDO",04844-720,59244684,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13496
159,19536,EMEI,CANAL DO COCAIA,CAPELA DO SOCORRO,CS,bertulezacarvalho@outlook.com,ESTRADA CANAL DE COCAIA,1440,PARQUE RESID. COCAIA,"ESTRADA CANAL DE COCAIA, 1440 - PARQUE RESID. COCAIA",04849-032,59325438,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13497
