0,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE
#REF!,400113,CEI,JARDIM REIMBERG,CAPELA DO SOCORRO,CS,ceijreimberg@prefeitura.sp.gov.br,RUA LUIZ THOMAZ JOAQUIM,74,JARDIM REIMBERG,"RUA LUIZ THOMAZ JOAQUIM, 74 - JARDIM REIMBERG",04845-200,5928-9537,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7451
#REF!,400115,CEI,"ILDEFRANCA, IRMA",SÃO MIGUEL,MP II,ceiildefranca@prefeitura.sp.gov.br,RUA PEDRO GERALDO NASCIMENTO,42,JARDIM ROBRU,"RUA PEDRO GERALDO NASCIMENTO, 42 - JARDIM ROBRU",08150-280,2511-0244,,Singular Gestão de Serviços Ltda,7524
#REF!,400116,CEI,JARDIM RODOLFO PIRANI,SÃO MATEUS,SM I,ceijrfpirani@prefeitura.sp.gov.br,RUA CINIRA POLONIO,20,CONJ. PRÓ-MORAR RIO CLARO,"RUA CINIRA POLONIO, 20 - CONJ. PRÓ-MORAR RIO CLARO",08395-320,,,SHA Comércio de Alimentos Ltda,11452
#REF!,400118,CEI,JARDIM ROSELY,SÃO MATEUS,SM I,ceijrosely@prefeitura.sp.gov.br,RUA JOSE DE LIMA,80,JARDIM ROSELI,"RUA JOSE DE LIMA, 80 - JARDIM ROSELI",08380-550,2753-2330,2735-3547,SHA Comércio de Alimentos Ltda,11453
#REF!,400119,CEI,JARDIM RUTH,SÃO MIGUEL,MP I,ceijruth@prefeitura.sp.gov.br,RUA GUARABU,45,JARDIM RUTH,"RUA GUARABU, 45 - JARDIM RUTH",08040-780,2051-6887,,Singular Gestão de Serviços Ltda,7525
#REF!,400120,CEI,JARDIM SANTA MARIA,ITAQUERA,IQ,ceijsmaria@prefeitura.sp.gov.br,RUA EMBIU,256,JARDIM SANTA MARIA,"RUA EMBIU, 256 - JARDIM SANTA MARIA",03574-110,2783-9827,2783-3200,Apetece Sistemas de Alimentação Ltda,7483
#REF!,400121,CEI,JARDIM SANTO ANDRE,SÃO MATEUS,SM I,ceijsandre@prefeitura.sp.gov.br,AVENIDA DOS SERTANISTAS,790,JARDIM SÃO FRANCISCO,"AVENIDA DOS SERTANISTAS, 790 - JARDIM SÃO FRANCISCO",08390-240,2751-2330,2753-4284,SHA Comércio de Alimentos Ltda,11359
#REF!,400123,CEI,JARDIM SAO CARLOS,SÃO MIGUEL,MP I,ceijscarlos@prefeitura.sp.gov.br,RUA SÃO PEDRO DO JEQUITINHONHA,101,SÃO MIGUEL,"RUA SÃO PEDRO DO JEQUITINHONHA, 101 - SÃO MIGUEL",08062-300,2280-0494,,Singular Gestão de Serviços Ltda,7529
#REF!,400128,CEI,JARDIM SAO MARTINHO,SÃO MIGUEL,MP I,ceijsmartinho@prefeitura.sp.gov.br,RUA ERVA DO SERENO,31,JARDIM MAIA,"RUA ERVA DO SERENO, 31 - JARDIM MAIA",08180-010,2584-3553,,Singular Gestão de Serviços Ltda,7530
#REF!,400129,CEI,JARDIM SAO PAULO,GUAIANASES,G,ceijspaulo@prefeitura.sp.gov.br,RUA FELICIANO DE MENDONÇA,500,JARDIM SÃO PAULO,"RUA FELICIANO DE MENDONÇA, 500 - JARDIM SÃO PAULO",08461-120,2557-0343,,Apetece Sistemas de Alimentação Ltda,7487
#REF!,400130,CEI,JARDIM SAO PEDRO,ITAQUERA,IQ,ceijspedro@prefeitura.sp.gov.br,RUA LUIS MATEUS,820,JARDIM SÃO PEDRO,"RUA LUIS MATEUS, 820 - JARDIM SÃO PEDRO",08420-750,2557-9001,2961-8125,Apetece Sistemas de Alimentação Ltda,7488
#REF!,400132,CEI,JARDIM SAO VICENTE,SÃO MIGUEL,MP I,ceijsvicente@prefeitura.sp.gov.br,RUA MOHAMED IBRAHIM SALEH,222,SÃO MIGUEL,"RUA MOHAMED IBRAHIM SALEH, 222 - SÃO MIGUEL",08042-130,2053-9709,,Singular Gestão de Serviços Ltda,7532
#REF!,400134,CEI,JARDIM SILVA TELLES,SÃO MIGUEL,MP II,ceijstelles@prefeitura.sp.gov.br,RUA JOSÉ ALEXANDRE MACHADO,587,ITAIM PAULISTA,"RUA JOSÉ ALEXANDRE MACHADO, 587 - ITAIM PAULISTA",08160-460,2561-1657,,Singular Gestão de Serviços Ltda,7533
#REF!,400135,CEI,JARDIM SILVEIRA,CAPELA DO SOCORRO,CS,ceijsilveira@prefeitura.sp.gov.br,RUA ANTONIO BERNAL,S/N,JARDIM SILVEIRA,"RUA ANTONIO BERNAL, S/N - JARDIM SILVEIRA",04892-100,5920-8709,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,8448
#REF!,400136,CEI,JARDIM SOMARA,CAPELA DO SOCORRO,CS,ceijsomara@prefeitura.sp.gov.br,RUA ANTONIO FELIPE FILHO,35,JARDIM SOMARA,"RUA ANTONIO FELIPE FILHO, 35 - JARDIM SOMARA",04840-600,5928-0251,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7452
#REF!,400139,CEI,JARDIM TIETE,SÃO MATEUS,SM II,ceijtiete@prefeitura.sp.gov.br,RUA ETTORE ANDREAZZA,40,JARDIM TIETE,"RUA ETTORE ANDREAZZA, 40 - JARDIM TIETE",03944-000,2919-2957,2010-9171,Comercial Milano Brasil LTDA,11454
#REF!,400140,CEI,JARDIM TRES CORACOES,CAPELA DO SOCORRO,CS,ceitcoracoes@prefeitura.sp.gov.br,AVENIDA CARLOS ALBERTO BASTOS MACHADO,65,JARDIM MIRNA,"AVENIDA CARLOS ALBERTO BASTOS MACHADO, 65 - JARDIM MIRNA",04856-080,5526-2313,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7448
#REF!,400142,CEI,JARDIM TRES MARIAS,PENHA,PE I,ceijtmarias@prefeitura.sp.gov.br,RUA RAIMUNDO NOGUEIRA,55,JARDIM TRÊS MARIAS,"RUA RAIMUNDO NOGUEIRA, 55 - JARDIM TRÊS MARIAS",03675-030,2043-4598,,Apetece Sistemas de Alimentação Ltda,7534
#REF!,400144,CEI,JARDIM UNIVERSITARIO,CAPELA DO SOCORRO,CS,ceijuniversitario@prefeitura.sp.gov.br,RUA GERALDO DO BRUMADO,S/N,JARDIM DAS IMBUIAS,"RUA GERALDO DO BRUMADO, S/N - JARDIM DAS IMBUIAS",04829-500,5929-4840,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7441
#REF!,400145,CEI,JARDIM VERA CRUZ,SÃO MATEUS,SM I,ceijvcruz@prefeitura.sp.gov.br,RUA FELIPE COTRIM,54,JARDIM VERA CRUZ,"RUA FELIPE COTRIM, 54 - JARDIM VERA CRUZ",08310-640,2015-3204,2919-3947,SHA Comércio de Alimentos Ltda,11360
#REF!,400146,CEI,JARDIM VERONIA,PENHA,PE I,ceijveronia@prefeitura.sp.gov.br,RUA RITA DE SOUZA,30,JARDIM VERÔNIA,"RUA RITA DE SOUZA, 30 - JARDIM VERÔNIA",03816-100,2546-4974,,Apetece Sistemas de Alimentação Ltda,7535
#REF!,400147,CEI,JARDIM VILA CARRAO,SÃO MATEUS,SM I,ceijvcarrao@prefeitura.sp.gov.br,RUA BARTOLOMEU ANTUNES,40,JARDIM VILA CARRÃO,"RUA BARTOLOMEU ANTUNES, 40 - JARDIM VILA CARRÃO",08340-360,2754-2387,2753-5020,SHA Comércio de Alimentos Ltda,11455
#REF!,400148,CEI,JARDIM VILA PEDROSO,SÃO MIGUEL,MP I,ceijvpedroso@prefeitura.sp.gov.br,RUA JULIÃO PEREIRA MACHADO,20,SÃO MIGUEL,"RUA JULIÃO PEREIRA MACHADO, 20 - SÃO MIGUEL",8020020,2297-4121,,Singular Gestão de Serviços Ltda,7518
#REF!,400149,CEI,JARDIM VISTA ALEGRE,FREGUÊSIA / BRASILÂNDIA,FO,ceijvalegre@prefeitura.sp.gov,RUA IBIRAIARAS,200,JARDIM VISTA ALEGRE,"RUA IBIRAIARAS, 200 - JARDIM VISTA ALEGRE",02878-080,3851-9767,,SHA Comércio de Alimentos Ltda,7590
#REF!,400150,CEI,"JOAO CARLOS FAIRBANKS, VER.",SÃO MIGUEL,MP II,ceijcfairbanks@prefeitura.sp.gov.br,RUA ANDRE FURTADO DE MENDONÇA,307,JARDIM ROMANO,"RUA ANDRE FURTADO DE MENDONÇA, 307 - JARDIM ROMANO",08191-260,2581-7475,,Singular Gestão de Serviços Ltda,7537
#REF!,400151,CEI,"JOAO FRANCISCO DE HARO, VER.",SÃO MATEUS,SM II,ceijfharo@prefeitura.sp.gov.br,RUA PEDRO DE CASTRO VELHO,559,JARDIM IVA,"RUA PEDRO DE CASTRO VELHO, 559 - JARDIM IVA",03921-000,2910-5854,2916-8860,Comercial Milano Brasil LTDA,7680
#REF!,400152,CEI,"JOAO TONIOLO, VER.",FREGUÊSIA / BRASILÂNDIA,FO,ceijoaotoniolo@prefeitura.sp.gov.br,RUA PADRE FELICIANO DOMINGUES,180,FREGUESIA DO Ó,"RUA PADRE FELICIANO DOMINGUES, 180 - FREGUESIA DO Ó",02965-140,3991-1359,,SHA Comércio de Alimentos Ltda,7591
#REF!,400153,CEI,"JOAQUIM GOUVEIA FRANCO JR., VER.",GUAIANASES,G,ceijgfranco@prefeitura.sp.gov.br,RUA ARDOSIA,8,VILA CHABILÂNDIA,"RUA ARDOSIA, 8 - VILA CHABILÂNDIA",08440-440,2557-9947,,Apetece Sistemas de Alimentação Ltda,7491
#REF!,400154,CEI,"JOAQUIM THOME FILHO, VER.",JAÇANÃ / TREMEMBÉ,JT,ceijthome@prefeitura.sp.gov.br,RUA PROF. LUIS AMARAL WAGNER,243,PD BRANCA,"RUA PROF. LUIS AMARAL WAGNER, 243 - PD BRANCA",02635-110,2258-2741,2231-7168,SHA Comércio de Alimentos Ltda,7592
#REF!,400155,CEI,JOCELYNE GUIMARAES FERNANDES DE MELLO,GUAIANASES,G,ceijnedemello@prefeitura.sp.gov.br,RUA UTARO KANAI,280,COHAB JUSCELINO,"RUA UTARO KANAI, 280 - COHAB JUSCELINO",08465-000,2555-2577,2555-5850,Apetece Sistemas de Alimentação Ltda,7475
#REF!,400156,CEI,"JOSE ADRIANO MARREY JR., VER.",CAPELA DO SOCORRO,CS,ceijamarrey@prefeitura.sp.gov.br,RUA DR. ARMANDO FARJADO,410,JARDIM BERNARDO,"RUA DR. ARMANDO FARJADO, 410 - JARDIM BERNARDO",04844-590,5928-5855,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7442
#REF!,400157,CEI,"JOSE BUSTAMANTE, VER.",PENHA,PE II,ceijbustamanteeador@prefeitura.sp.gov.br,RUA BURITI ALEGRE,872,VILA RÉ,"RUA BURITI ALEGRE, 872 - VILA RÉ",03657-000,2498-0017,2798-0017,Apetece Sistemas de Alimentação Ltda,7542
#REF!,400158,CEI,"JOSE DE MOURA, VER.",IPIRANGA,IP I,ceijmoura@prefeitura.sp.gov.br,RUA DONA ANA NERY,157,MOOCA,"RUA DONA ANA NERY, 157 - MOOCA",03106-010,3208-6399,3277-3845,Singular Gestão de Serviços Ltda,7666
#REF!,400159,CEI,"JOSE FERREIRA KEFFER, VER.",CAPELA DO SOCORRO,CS,ceijfkeffer@prefeitura.sp.gov.br,RUA IRUPANA,S/N,VILA SÃO JOSÉ,"RUA IRUPANA, S/N - VILA SÃO JOSÉ",04837-270,5928-9432,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7454
#REF!,400160,CEI,"JOSE GOMES DE MORAES NETTO, VER.",IPIRANGA,IP II,ceijgmoraes@prefeitura.sp.gov.br,RUA DEMOCRACIA,262,VILA BRASILINA,"RUA DEMOCRACIA, 262 - VILA BRASILINA",04161-060,2947-2482,2969-4462,Singular Gestão de Serviços Ltda,7647
#REF!,400161,CEI,"JOSE MOLINA JR., VER",CAPELA DO SOCORRO,CS,ceijosemolina@prefeitura.sp.gov.br,RUA GASPARUA JOSÉ RAPOSO,S/N,JARDIM ORION,"RUA GASPARUA JOSÉ RAPOSO, S/N - JARDIM ORION",04814-100,5661-9087,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7443
#REF!,400165,CEI,"JUSCELINO KUBITSCHEK OLIVEIRA, PRES.",GUAIANASES,G,ceijkubitschek@prefeitura.sp.gov.br,RUA PEDRO DE SEABRA,80,JARDIM SÃO PAULO,"RUA PEDRO DE SEABRA, 80 - JARDIM SÃO PAULO",08461-380,2556-5025,,Apetece Sistemas de Alimentação Ltda,7490
#REF!,400167,CEI,LAUZANE PAULISTA,JAÇANÃ / TREMEMBÉ,JT,ceilpaulista@prefeitura.sp.gov.br,PRAÇA SANTO ESTEVÃO BRITEIROS,25,LAUZANE PAULISTA,"PRAÇA SANTO ESTEVÃO BRITEIROS, 25 - LAUZANE PAULISTA",02443-102,2231-7455,2235-0522,SHA Comércio de Alimentos Ltda,7640
#REF!,400168,CEI,"LIBERO ANCONA LOPES, VER.",SÃO MIGUEL,MP II,ceilalopes@prefeitura.sp.gov.br,RUA BENEDITO RAPOSO,13,JARDIM ROBRU,"RUA BENEDITO RAPOSO, 13 - JARDIM ROBRU",08031-070,2035-1638,,Singular Gestão de Serviços Ltda,7522
#REF!,400169,CEI,LUIZ GONZAGA DO NASCIMENTO JR.,SÃO MATEUS,SM II,eilgnascimento@prefeitura.sp.gov.br,RUA PASCOAL DIAS,719,JARDIM SANTA ADELIA,"RUA PASCOAL DIAS, 719 - JARDIM SANTA ADELIA",03971-010,2919-1522,2019-9914,Comercial Milano Brasil LTDA,11361
#REF!,400170,CEI,"MANOEL DA NOBREGA,PDE.",PENHA,PE II,ceipmnobrega@ig.com.br,RUA PADRE JOSÉ VIEIRA DE MATOS,128 A,ARTUR ALVIM,"RUA PADRE JOSÉ VIEIRA DE MATOS, 128 A - ARTUR ALVIM",03590-010,2741-3183,,Apetece Sistemas de Alimentação Ltda,7481
#REF!,400171,CEI,MARCIA RICCO FERRAZ,FREGUÊSIA / BRASILÂNDIA,FO,ceimrf@prefeitura.sp.gov.br,RUA DR. MARIO DE SANCTIS,58,JARDIM ALMANARA,"RUA DR. MARIO DE SANCTIS, 58 - JARDIM ALMANARA",02863-020,3851-7577,3982-7171,SHA Comércio de Alimentos Ltda,7578
#REF!,400172,CEI,"MARCOS MELEGA, VER.",SÃO MATEUS,SM II,ceimmelega@prefeitura.sp.gov.br,RUA TORRES FLORENCIO E RIELLI,270,JARDIM PLANALTO,"RUA TORRES FLORENCIO E RIELLI, 270 - JARDIM PLANALTO",03984-050,2704-7499,2702-6340,Comercial Milano Brasil LTDA,7681
#REF!,400173,CEI,MARIA AUXILIADORA DA SILVA,JAÇANÃ / TREMEMBÉ,JT,ceimasilva@prefeitura.sp.ov.br,RUA ANGELO ALUISIO,145,JAÇANÃ,"RUA ANGELO ALUISIO, 145 - JAÇANÃ",02276-100,2242-2973,,SHA Comércio de Alimentos Ltda,7604
#REF!,400174,CEI,MARIA CURSI,SÃO MATEUS,SM II,ceimcursi@prefeitura.sp.gov.br,AVENIDA MARIA LUIZA DO VAL PENTEADO,560,SÃO MATEUS,"AVENIDA MARIA LUIZA DO VAL PENTEADO, 560 - SÃO MATEUS",03962-040,2962-5733,2919-8899,Comercial Milano Brasil LTDA,11362
#REF!,400175,CEI,MARIA HENRIQUETA CATITE,JAÇANÃ / TREMEMBÉ,JT,ceimhcatite@prefeitura.sp.gov.br,RUA DOM LUIS FELIPE ORLEANS,1000,VILA MARIA,"RUA DOM LUIS FELIPE ORLEANS, 1000 - VILA MARIA",02118-001,2954-6099,2636-6322,SHA Comércio de Alimentos Ltda,7608
#REF!,400176,CEI,MARIA JOSE DE SOUZA,FREGUÊSIA / BRASILÂNDIA,FO,ceimjsouza@prefeitura.sp.gov.br,RUA EUVALDO AUGUSTO FREIRE,50,JARDIM CAROMBE,"RUA EUVALDO AUGUSTO FREIRE, 50 - JARDIM CAROMBE",02855-030,3935-6385,,SHA Comércio de Alimentos Ltda,7580
#REF!,400178,CEI,MARILIA DE DIRCEU,GUAIANASES,G,ceimdirceu@prefeitura.sp.gov.br,RUA LUIS BORDESE,43,CIDADE TIRADENTES,"RUA LUIS BORDESE, 43 - CIDADE TIRADENTES",08471-790,2282-1211,2282-6722,Apetece Sistemas de Alimentação Ltda,7489
#REF!,400179,CEI,MARIO CALDANA,PENHA,PE I,ceimcaldana@prefeitura.sp.gov.br,RUA HEITOR DINIZ CAMPELLO,258,CHÁCARA CRUZEIRO DO SUL,"RUA HEITOR DINIZ CAMPELLO, 258 - CHÁCARA CRUZEIRO DO SUL",03732-100,2641-8611,,Apetece Sistemas de Alimentação Ltda,7556
#REF!,400180,CEI,MARIO DA COSTA BARBOSA,JAÇANÃ / TREMEMBÉ,JT,ceimcbarbosa@prefeitura.sp.gov.br,RUA SG JETER A. PEREIRA,121,PARQUE NOVO MUNDO,"RUA SG JETER A. PEREIRA, 121 - PARQUE NOVO MUNDO",02188-070,2636-5810,2954-4787,SHA Comércio de Alimentos Ltda,7609
#REF!,400182,CEI,MITIKO MATSUSHITA NEVOEIRO,CAPELA DO SOCORRO,CS,ceimmnevoeiro@prefeitura.sp.gov.br,RUA MARTIN CACHA,15,JARDIM SABIA,"RUA MARTIN CACHA, 15 - JARDIM SABIA",04857-380,5526-7944,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,8450
#REF!,400183,CEI,MONUMENTO,IPIRANGA,IP II,ceimonumento@prefeitura.sp.gov.br,RUA LEAIS PAULISTANOS,22,IPIRANGA,"RUA LEAIS PAULISTANOS, 22 - IPIRANGA",04202-010,2273-8924,2215-5478,Singular Gestão de Serviços Ltda,7652
#REF!,400185,CEI,NAZARE,SÃO MIGUEL,MP II,ceinazare@prefeitura.sp.gov.br,TRAVESSA DOS MASSEIROS,140,JARDIM NAZARÉ,"TRAVESSA DOS MASSEIROS, 140 - JARDIM NAZARÉ",08152-060,2572-2622,,Singular Gestão de Serviços Ltda,7538
#REF!,400186,CEI,"NAZIR MIGUEL, VER.",PENHA,PE II,ceinazirmiguel@prefeitura.sp.gov.br,RUA PRUDENTE DE MORAIS,210,BRÁS,"RUA PRUDENTE DE MORAIS, 210 - BRÁS",03043-040,3208-4521,,Apetece Sistemas de Alimentação Ltda,9896
#REF!,400187,CEI,NEIDE KETELHUT,GUAIANASES,G,ceineideketelhut@prefeitura.sp.gov.br,RUA CLAUDIO DA COSTA,312,JARDIM AURORA,"RUA CLAUDIO DA COSTA, 312 - JARDIM AURORA",08431-160,2035-7921,2035-5236,Apetece Sistemas de Alimentação Ltda,7465
#REF!,400188,CEI,CEI NINHO ALEGRE,SÃO MIGUEL,MP I,ceinalegre@prefeitura.sp.gov.br,RUA JOÃO NICÁRIO ELEUTÉRIO,430,CIDADE NOVA SÃO MIGUEL,"RUA JOÃO NICÁRIO ELEUTÉRIO, 430 - CIDADE NOVA SÃO MIGUEL",08042-080,2052-3893,,Singular Gestão de Serviços Ltda,7516
#REF!,400189,CEI,ODILIA ALVES ALMEIDA SANTOS,SÃO MIGUEL,MP II,ceioaasantos@prefeitura.sp.gov.br,RUA DES. OSWALDO ARANHA BANDEIRA DE MELLO,376,CIDADE KEMEL,"RUA DES. OSWALDO ARANHA BANDEIRA DE MELLO, 376 - CIDADE KEMEL",8130330,2572-1028,,Singular Gestão de Serviços Ltda,8468
#REF!,400192,CEI,PARADA XV DE NOVEMBRO,ITAQUERA,IQ,ceipxvdenovembro@prefeitura.sp.gov.br,RUA IBIAJARA,111,PARADA XV DE NOVEMBRO,"RUA IBIAJARA, 111 - PARADA XV DE NOVEMBRO",08246-100,2205-9763,,Apetece Sistemas de Alimentação Ltda,7479
#REF!,400193,CEI,"VANDA MARIA RODRIGUES DOS SANTOS, PROFA",CAPELA DO SOCORRO,CS,ceiparbonito@prefeitura.sp.gov.br,RUA CEL ARLINDO DE OLIVEIRA,136,CIDADE DUTRA,"RUA CEL ARLINDO DE OLIVEIRA, 136 - CIDADE DUTRA",04823-200,5661-6529,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7444
#REF!,400194,CEI,PARQUE BOTURUSSU,PENHA,PE I,ceipboturussu@prefeitura.sp.gov.br,RUA JOÃO ANTONIO DE ANDRADE,495,PARQUE BOTURUSSU,"RUA JOÃO ANTONIO DE ANDRADE, 495 - PARQUE BOTURUSSU",03805-070,2943-7853,,Apetece Sistemas de Alimentação Ltda,7500
#REF!,400195,CEI,PARQUE CASA DE PEDRA,JAÇANÃ / TREMEMBÉ,JT,ceipcpedra@prefeitura.sp.gov.br,RUA CANTO DO ENGENHO,288,VILA AURORA,"RUA CANTO DO ENGENHO, 288 - VILA AURORA",02322-210,2204-1092,2953-3650,SHA Comércio de Alimentos Ltda,7639
#REF!,400196,CEI,PARQUE COCAIA,CAPELA DO SOCORRO,CS,ceipcocaia@prefeitura.sp.gov.br,RUA TAVARED,84,PARQUE COCAIA,"RUA TAVARED, 84 - PARQUE COCAIA",04850-230,5528-1180,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7457
#REF!,400197,CEI,PARQUE DAS PAINEIRAS,PENHA,PE I,ceippaineiras@prefeitura.sp.gov.br,RUA JOSÉ GIORDANO,736,PARQUE DAS PAINEIRAS,"RUA JOSÉ GIORDANO, 736 - PARQUE DAS PAINEIRAS",03694-010,2280-6088,,Apetece Sistemas de Alimentação Ltda,7550
#REF!,400200,CEI,PARQUE FONGARO,IPIRANGA,IP II,ceipfongaro@prefeitura.sp.gov.br,RUA JOAQUIM GONÇALVES ANDRADE,66,PARQUE FONGARO,"RUA JOAQUIM GONÇALVES ANDRADE, 66 - PARQUE FONGARO",04257-020,6946-6434,,Singular Gestão de Serviços Ltda,7650
#REF!,400201,CEI,PARQUE GRAJAU,CAPELA DO SOCORRO,CS,ceipgrajau@prefeitura.sp.gov.br,RUA JONATAS SERRANO,621,PARQUE GRAJAU,"RUA JONATAS SERRANO, 621 - PARQUE GRAJAU",04842-040,5661-5747,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,7459
#REF!,400202,CEI,PARQUE GUARANI,ITAQUERA,IQ,ceipguarani@prefeitura.sp.gov.br,RUA PINHEIRO DO PARANÁ,483,ITAQUERA,"RUA PINHEIRO DO PARANÁ, 483 - ITAQUERA",08235-590,2051-2922,,Apetece Sistemas de Alimentação Ltda,7510
#REF!,400204,CEI,PARQUE NOVO MUNDO,JAÇANÃ / TREMEMBÉ,JT,ceipanmundo@prefeitura.sp.gov.br,RUA SD FRANCISCO FRANCO,351,PARQUE NOVO MUNDO,"RUA SD FRANCISCO FRANCO, 351 - PARQUE NOVO MUNDO",02180-040,2954-4958,2954-9230,SHA Comércio de Alimentos Ltda,7607
#REF!,400207,CEI,DORALICE PEREIRA DE SOUZA LEONARDO,SÃO MIGUEL,MP II,ceidpsleonardo@prefeitura.sp.gov.br,AVENIDA RIO MIRIVAI,274,ITAIM PAULISTA,"AVENIDA RIO MIRIVAI, 274 - ITAIM PAULISTA",08122-440,2963-2467,,Singular Gestão de Serviços Ltda,7526
#REF!,400208,CEI,PARQUE SANTA MADALENA,SÃO MATEUS,SM II,ceipsmadalena@prefeitura.sp.gov.br,AVENIDA DR. PAULO COLOMBO P. DE QUEIROZ,340,PARQUE SANTA MADALENA,"AVENIDA DR. PAULO COLOMBO P. DE QUEIROZ, 340 - PARQUE SANTA MADALENA",03982-130,2703-2478,2702-1856,Comercial Milano Brasil LTDA,7686
#REF!,400210,CEI,PARQUE SANTA RITA,SÃO MIGUEL,MP II,ceipsrita@prefeitura.sp.gov.br,RUA MATEUS BARBOSA DE REZENDE,120,ITAIM PAULISTA,"RUA MATEUS BARBOSA DE REZENDE, 120 - ITAIM PAULISTA",08161-530,2035-4740,,Singular Gestão de Serviços Ltda,7528
#REF!,400212,CEI,PARQUE SAO RAFAEL II,SÃO MATEUS,SM I,ceipsrafael2@prefeitura.sp.gov.br,RUA SENADOR FILINTO MULLER,391,PARQUE SÃO RAFAEL,"RUA SENADOR FILINTO MULLER, 391 - PARQUE SÃO RAFAEL",08320-110,2019-9404,2919-3814,SHA Comércio de Alimentos Ltda,11364
#REF!,400213,CEI,PARQUE SAVOY CITY,ITAQUERA,IQ,ceipscity@prefeitura.sp.gov.br,RUA ESTEVÃO DIAS VERGARA,700,JARDIM NOSSA SRA. DO CARMO,"RUA ESTEVÃO DIAS VERGARA, 700 - JARDIM NOSSA SRA. DO CARMO",08275-120,2748-7836,2741-1981,Apetece Sistemas de Alimentação Ltda,7485
#REF!,400214,CEI,PAULO CESAR FONTELLES DE LIMA,SÃO MIGUEL,MP I,ceipacflima@prefeitura.sp.gov.br,RUA JOÃO NERY DE CARVALHO,781,VILA ROSÁRIA,"RUA JOÃO NERY DE CARVALHO, 781 - VILA ROSÁRIA",08021-010,2297-1047,,Singular Gestão de Serviços Ltda,7540
#REF!,400216,CEI,"PEDRO BRASIL BANDECCHI, VER.",GUAIANASES,G,ceipbbandecchi@prefeitura.sp.gov.br,RUA MARIA AMÉLIA DE ASSUNÇÃO,185,JARDIM ETELVINA,"RUA MARIA AMÉLIA DE ASSUNÇÃO, 185 - JARDIM ETELVINA",08430-560,2035-0626,,Apetece Sistemas de Alimentação Ltda,7492
#REF!,400217,CEI,PENHA,PENHA,PE II,ceipenha@prefeitura.sp.gov.br,RUA LEOPOLDO DE FREITAS,850,VILA ESPERANÇA,"RUA LEOPOLDO DE FREITAS, 850 - VILA ESPERANÇA",03645-010,2957-8762,,Apetece Sistemas de Alimentação Ltda,7551
#REF!,400222,CEI,"ROBERTO GOMES PEDROSA, VER.",SÃO MATEUS,SM II,ceirgpedrosa@prefeitura.sp.gov.br,RUA BORGES DE MEDEIROS,79,VILA FATIMA,"RUA BORGES DE MEDEIROS, 79 - VILA FATIMA",03920-010,2703-2311,2703-3737,Comercial Milano Brasil LTDA,7679
#REF!,400225,CEI,SAMIR RACHID SALIBA,PENHA,PE II,ceissaliba@prefeitura.sp.gov.br,RUA SERRA DE BRAGANÇA,990,VILA GOMES CARDIM,"RUA SERRA DE BRAGANÇA, 990 - VILA GOMES CARDIM",03318-000,2293-9828,,Apetece Sistemas de Alimentação Ltda,8804
#REF!,400226,CEI,SANTA BARBARA,PENHA,PE II,ceisbarbara@prefeitura.sp.gov.br,RUA MARIA EUGÊNIA CELSO,255,PARQUE ARTUR ALVIM,"RUA MARIA EUGÊNIA CELSO, 255 - PARQUE ARTUR ALVIM",03568-050,2741-6221,,Apetece Sistemas de Alimentação Ltda,7482
#REF!,400227,CEI,MARIA AUGUSTA DE PAULA PROFA,GUAIANASES,G,ceimariapaula@prefeitura.sp.gov.br,RUA DOS PEDREIROS,135,CIDADE TIRADENTES,"RUA DOS PEDREIROS, 135 - CIDADE TIRADENTES",08471-330,2282-0992,2964-0414,Apetece Sistemas de Alimentação Ltda,7472
#REF!,400229,CEI,SAO LUIZ,PENHA,PE II,ceisaoluiz@prefeitura.sp.gov.br,RUA IRMÃO NICOLAU DA FONSECA,121,COHAB I - PE. MANOEL DA NÓBREGA,"RUA IRMÃO NICOLAU DA FONSECA, 121 - COHAB I - PE. MANOEL DA NÓBREGA",03590-170,2741-6682,,Apetece Sistemas de Alimentação Ltda,7486
